city,kappa_xsage,n_test,n_sinks,core_sink_share,LT_blind,R20_blind,N20_blind,LT_xsage,R20_xsage,N20_xsage,dLT_xsage,dR20_xsage,dN20_xsage,LT_global_samek,R20_global_samek,N20_global_samek,dLT_global_samek,dR20_global_samek,dN20_global_samek,kappa_global_matched,LT_global_matched,dLT_global_matched,R20_global_matched,N20_global_matched,dR20_global_matched,dN20_global_matched,cost_ratio_samek,cost_ratio_matched,wilcoxon_stat,wilcoxon_p,wilcoxon_global_kappa_label,wallclock_s
istanbul,1.0,136220,2,0.23520775216561446,0.008799735456705093,0.06686242669820786,0.028874481096863747,0.027194976806640625,0.06645132601261139,0.028689362108707428,0.01839524134993553,-0.00041110068559646606,-0.00018511898815631866,0.08476105332374573,0.06546028703451157,0.028323126956820488,0.07596131786704063,-0.001402139663696289,-0.0005513541400432587,0.5,0.029179636389017105,0.02037990093231201,0.06671560555696487,0.02880263328552246,-0.00014682114124298096,-7.18478113412857e-05,0.2931952474069036,2.800010149193139,11569987.5,0.012133461918275489,matched_kappa=0.5,391.3374230861664
bangkok,1.0,43556,1,0.05034897603085683,0.03199444338679314,0.06986407935619354,0.03135691210627556,0.04326154664158821,0.06974928826093674,0.03134835511445999,0.011267103254795074,-0.00011479109525680542,-8.556991815567017e-06,0.22833594679832458,0.06568555533885956,0.029978759586811066,0.19634150341153145,-0.004178524017333984,-0.0013781525194644928,0.15,0.04564468935132027,0.01365024596452713,0.06963449716567993,0.03133608400821686,-0.00022958219051361084,-2.082809805870056e-05,0.027471684925253908,0.5,957704.0,0.475050524053953,matched_kappa=0.15,13.69828200340271
saopaulo,1.0,23821,1,0.012971747617648294,0.06526803970336914,0.07060996443033218,0.030057251453399658,0.06942614167928696,0.07044204324483871,0.030034681782126427,0.004158101975917816,-0.00016792118549346924,-2.2569671273231506e-05,0.4684290885925293,0.05826791375875473,0.0242838803678751,0.40316104888916016,-0.012342050671577454,-0.005773371085524559,0.03,0.07095839828252792,0.005690358579158783,0.07035809010267258,0.02997974306344986,-0.00025187432765960693,-7.750838994979858e-05,0.01360561465528378,0.6666863870318879,190500.0,0.6373518882339371,matched_kappa=0.03,6.54315710067749
tokyo_tist,1.0,59561,0,0.0,0.023279493674635887,0.04633904621005058,0.020784370601177216,0.023279493674635887,0.04633904621005058,0.020784370601177216,0.0,0.0,0.0,0.17986012995243073,0.044962309300899506,0.02015123888850212,0.15658063627779484,-0.0013767369091510773,-0.0006331317126750946,,,,,,,,-0.0,,8964794.5,2.857378708808818e-05,same_kappa=1.0,6.929242134094238
