situation,n_requests,LT,KL,Gini,is_sink_LT,is_sink_KL,is_sink_Gini
0,2193,0.0562699498404012,0.0804410956757198,0.9346311242606411,False,False,False
1,1853,0.0292228818132757,0.3369681966122197,0.9557072856176223,False,False,False
2,8297,0.0785344100277208,0.0971066034469395,0.9156053001000168,False,False,False
3,1295,0.0456370656370656,0.2976939931088004,0.9482516406557566,False,False,False
4,3205,0.0705772230889235,0.0661542468205693,0.9217215558594278,False,False,False
5,328,0.0326219512195121,0.8059179692665306,0.973227581433906,True,True,True
6,2460,0.0657723577235772,0.0800339998001298,0.9204056421293867,False,False,False
7,4190,0.0639140811455847,0.0840324388409607,0.9278877276959039,False,False,False
