situation,n_requests,LT,KL,Gini,is_sink_LT,is_sink_KL,is_sink_Gini
0,2034,0.0838249754178957,0.1064820717196848,0.9234722780205775,False,False,False
1,3146,0.0836458995549904,0.1057313926625426,0.9318865460872436,False,False,False
2,2116,0.059617202268431,0.2402712434575934,0.9540478317291119,False,False,False
3,6656,0.0789287860576923,0.0755458515769455,0.9237255266816673,False,False,False
4,2214,0.0492773261065943,0.1330305180680869,0.9519466155701604,False,False,False
5,1536,0.08896484375,0.4497299213284641,0.9627166709775519,True,True,True
