situation,n_requests,LT,KL,Gini,is_sink_LT,is_sink_KL,is_sink_Gini
0,23015,0.0072213773625896,0.0719158876588789,0.9768085351433655,True,False,True
1,10582,0.0084530334530334,0.0624642829462554,0.9758991498647598,False,False,False
2,25713,0.0113288997783222,0.0201841109890365,0.973810997612989,False,False,False
3,20083,0.0088084449534432,0.0129082540488938,0.9746253852530269,False,False,False
4,15596,0.009899974352398,0.0652155251109559,0.9730314638606545,True,False,False
5,12628,0.0059154260373772,0.0482214470600085,0.977804244025329,False,False,True
6,13694,0.0086607273258361,0.0258849625898649,0.9743559148462357,False,False,False
7,14909,0.0085284056610101,0.0284822354798264,0.9738763248969233,False,False,False
