city,n_users,B_blind_R20,B_full_R20,delta_R20_paired_user_mean,delta_R20_ci95_lo,delta_R20_ci95_hi,delta_R20_wilcoxon_p,delta_R20_crosses_zero,delta_F1_T_vs_clock,mcnemar_p,mcnemar_n10_T_only_correct,mcnemar_n01_time_only_correct,delta_R20_wilcoxon_p_holm,delta_R20_holm_reject,delta_F1_mcnemar_p_holm,delta_F1_holm_reject
istanbul,22631,0.08464219519049254,0.0780079481995541,-0.006634246990938442,-0.008584813959475924,-0.004717169378568426,8.438345452256336e-20,False,0.10039146563276406,4.658129381329701e-05,21137,20307,4.219172726128168e-19,True,4.658129381329701e-05,True
bangkok,6316,0.0923400980079859,0.08751002696146776,-0.00483007104651816,-0.008159136963932462,-0.001517822377652788,0.0004028492145825548,False,-0.0874243812312997,0.0,5707,10114,0.0008056984291651096,True,0.0,True
nyc_tist,4113,0.09087472090217003,0.10799737160946188,0.017122650707291846,0.01120153774592289,0.02305458377361118,7.412201527268959e-09,False,0.06546910795091185,0.0,3334,4144,2.9648806109075835e-08,True,0.0,True
saopaulo,4395,0.08935593974203472,0.08885857372032811,-0.0004973660217066097,-0.0055986883049595915,0.004610101028622811,0.1809864751122784,True,0.06115964262407336,0.0,3769,4883,0.1809864751122784,False,0.0,True
tokyo_tist,7160,0.0747218490275195,0.0693492453372897,-0.0053726036902297936,-0.008597582693101112,-0.002067070932794424,2.8306983189595395e-07,False,-0.08264005645493172,0.0,11866,17416,8.492094956878618e-07,True,0.0,True
